FeatureFamily,FeatureVariant,Dataset,N_class,Model,AccuracyTrain,WeightedF1Train,AccuracyTest,WeightedF1Test,TrainingTime,NumParams,NumEpochs,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
WEFE-XLM-R-T,mean,arabic,2,LightGBM,0.7505937252614474,0.650960585166709,0.745031871016123,0.6381862697693822,76.95292687416077,,,1020,11.199459281982854,9.243023863659816e-05,91.07582556605446,0.01097986204115966,9.061788101627271e-08
WEFE-XLM-R-T,mean,arabic,2,LogisticRegression,0.8614641056622641,0.8666175027809165,0.8058992625921759,0.8128368338600823,752.8790426254272,,,1020,10.617446708958596,8.329126772905523e-05,96.0682947567199,0.010409261479371172,8.165810561672081e-08
WEFE-XLM-R-T,mean,arabic,2,RandomForest,0.7419690846214742,0.7562277861285935,0.7111611048618922,0.7268679574881932,2.8000481128692627,,,1020,9.82775118201971,6.33870473646731e-05,103.78773140554611,0.009635050178450696,6.214416408301285e-08
WEFE-XLM-R-T,mean,arabic,2,XGBoost,0.9534602724886464,0.9544066515971176,0.8146481689788776,0.8179811467381383,13.056513786315918,,,1020,9.844515162985772,6.515958313646077e-05,103.61099384915175,0.00965148545390762,6.388194425143212e-08
WEFE-XLM-R-T,mean,arabic,2,GaussianNB,0.4506895546018916,0.4650259771395244,0.4598175228096487,0.4733485545470745,3.526329278945923,,,1020,9.719701698981224,6.0743947599068194e-05,104.94149219691711,0.009529119312726689,5.955288980300803e-08
WEFE-XLM-R-T,mean,arabic,2,linear,0.821078431372549,0.8002285078423974,0.8043994500687414,0.7783285405657656,109.16898488998412,6146,18,1020,9.75665381399449,6.182421719399248e-05,104.54403932390832,0.009565346876465186,6.06119776411691e-08
WEFE-XLM-R-T,mean,arabic,2,microffn,0.8862745098039215,0.8826225003669647,0.7986501687289089,0.787680473490309,295.9238660335541,300050,16,1020,9.845428264001384,6.427390145509442e-05,103.60138458674331,0.00965238065098175,6.301362887754355e-08
WEFE-XLM-R-T,mean,arabic,2,resmicro,0.9114215686274508,0.9085293580331776,0.8260217472815898,0.8183448643263614,350.55401730537415,1598210,19,1020,9.70717223797692,6.247654807016678e-05,105.07694465433521,0.009516835527428352,6.125151771584978e-08
WEFE-XLM-R-T,mmm,arabic,2,LightGBM,0.9998333402774884,0.9998333225931972,0.8573928258967629,0.8507862761667382,126.25346779823305,,,1020,10.21909362700535,6.819396751986268e-05,99.81315733369061,0.010018719242162107,6.685683090182615e-08
WEFE-XLM-R-T,mmm,arabic,2,LogisticRegression,0.8517978417565935,0.8574894953856133,0.8145231846019247,0.8212485815894516,129.84911179542542,,,1020,11.529006690019742,9.684084804286266e-05,88.47249615033864,0.011302947735313472,9.494200788515946e-08
WEFE-XLM-R-T,mmm,arabic,2,RandomForest,0.7617182617390942,0.7740758416812703,0.7320334958130233,0.7460756802273062,2.5228633880615234,,,1020,11.00892794894753,8.888216679078841e-05,92.65207336537374,0.010793066616615226,8.713937920665531e-08
WEFE-XLM-R-T,mmm,arabic,2,XGBoost,0.9902504062330736,0.9903055639724112,0.8343957005374328,0.8346957859174159,17.96288299560547,,,1020,10.695078118005767,7.435028412708688e-05,95.37097239923591,0.010485370703927223,7.289243541871262e-08
WEFE-XLM-R-T,mmm,arabic,2,GaussianNB,0.443689846256406,0.4581406241849123,0.4539432570928634,0.4677994908411232,4.947089433670044,,,1020,10.644220713002142,7.364667833434888e-05,95.82664879863383,0.010435510502943276,7.220262581798909e-08
WEFE-XLM-R-T,mmm,arabic,2,linear,0.8530882352941176,0.8408230375082548,0.8253968253968254,0.8080048135541763,304.58561396598816,9218,27,1020,10.547591028967872,7.324431414495459e-05,96.70454582460346,0.010340775518595953,7.18081511225045e-08
WEFE-XLM-R-T,mmm,arabic,2,microffn,0.9144117647058824,0.9087010847935436,0.8138982627171604,0.794099339268784,194.65846514701843,372282,16,1020,10.640249874035362,7.398790679489659e-05,95.8624103827705,0.01043161752356408,7.253716352440841e-08
WEFE-XLM-R-T,mmm,arabic,2,resmicro,0.8618627450980392,0.8665106653323273,0.7632795900512436,0.7677923687991888,236.0853509902954,2101922,20,1020,10.711800150049385,7.396798300824939e-05,95.22209019137624,0.010501764852989592,7.25176304002445e-08
WEFE-XLM-R-T,tfidfw,arabic,2,LightGBM,0.9999166701387442,0.9999166701387442,0.8302712160979877,0.8138196309623916,173.45453572273254,,,1020,9.413687696040142,6.008471772124258e-05,108.35286159206895,0.009229105584353081,5.890658600121822e-08
WEFE-XLM-R-T,tfidfw,arabic,2,LogisticRegression,0.8580475813507771,0.8634142385506632,0.799525059367579,0.8069247548281564,730.8553235530853,,,1020,10.583824284025468,9.319928528293254e-05,96.37348208241905,0.010376298317672027,9.137184831660053e-08
WEFE-XLM-R-T,tfidfw,arabic,2,RandomForest,0.7396775134369401,0.754350505528447,0.7025371828521435,0.7192100232960961,2.993070125579834,,,1020,10.196705674985424,6.937065779245727e-05,100.03230773859305,0.009996770269593553,6.801044881613458e-08
WEFE-XLM-R-T,tfidfw,arabic,2,XGBoost,0.9542519061705762,0.9551679716286386,0.8125234345706787,0.8162153158391086,13.031318426132202,,,1020,9.863327615021262,6.450931495552499e-05,103.41337526359771,0.00966992903433457,6.324442642698528e-08
WEFE-XLM-R-T,tfidfw,arabic,2,GaussianNB,0.4488562976542644,0.4629520734706552,0.4576927884014498,0.4708443552667333,3.3507206439971924,,,1020,9.790034184989054,6.181476273011035e-05,104.18758307953145,0.009598072730381425,6.060270855893173e-08
WEFE-XLM-R-T,tfidfw,arabic,2,linear,0.8228921568627451,0.8076363451701875,0.8053993250843644,0.7869913306567686,165.96567010879517,6146,17,1020,9.9008366750204,6.644071934542567e-05,103.02159640441684,0.00970670262256902,6.513796014257418e-08
WEFE-XLM-R-T,tfidfw,arabic,2,microffn,0.8948529411764706,0.8953423100327628,0.8135233095863017,0.8136120853073208,320.86988854408264,199010,17,1020,9.851651510980446,6.450853876327203e-05,103.53594002621075,0.009658481873510242,6.324366545418826e-08
WEFE-XLM-R-T,tfidfw,arabic,2,resmicro,0.7849019607843137,0.7225880845471582,0.7637795275590551,0.6888424227718251,104.55351448059082,1008098,16,1020,9.87941241497174,6.704641770555311e-05,103.24500660122686,0.009685698446050727,6.573178206426775e-08
WEFE-XLM-R-T,sif,arabic,2,LightGBM,0.9999166701387442,0.999916665718898,0.8371453568303961,0.8216898955250254,166.0727825164795,,,1020,10.19350277504418,8.441619097175031e-05,100.06373888445614,0.009993630171611942,8.276097154093167e-08
WEFE-XLM-R-T,sif,arabic,2,LogisticRegression,0.8605891421190783,0.8658407744392472,0.8022747156605424,0.8095363433615763,754.0102579593658,,,1020,11.269361304992344,0.000106649693151,90.51089697054424,0.011048393436267004,1.0455852269705883e-07
WEFE-XLM-R-T,sif,arabic,2,RandomForest,0.7384275655181034,0.7531558891745637,0.7056617922759655,0.7221529620495298,2.9774510860443115,,,1020,10.572023104003163,9.389496837621468e-05,96.48106043334039,0.010364728533336434,9.205389056491635e-08
WEFE-XLM-R-T,sif,arabic,2,XGBoost,0.9948335486021416,0.9948497144391384,0.8258967629046369,0.8238570782984926,13.57479691505432,,,1020,10.263346852967516,7.844317505737243e-05,99.38278561686532,0.01006210475781129,7.690507358565924e-08
WEFE-XLM-R-T,sif,arabic,2,GaussianNB,0.4624807299695846,0.4791437822685522,0.4686914135733033,0.4841933025013279,3.3407533168792725,,,1020,10.324723412981257,8.506148657470696e-05,98.79199269566445,0.010122277855863978,8.339361428892839e-08
WEFE-XLM-R-T,sif,arabic,2,linear,0.8266666666666667,0.830559231066054,0.7976502937132859,0.8019976123946156,288.27138924598694,6146,18,1020,10.15971154696308,7.926806494684974e-05,100.39655115059799,0.009960501516630471,7.771378916357817e-08
WEFE-XLM-R-T,sif,arabic,2,microffn,0.8742156862745099,0.8712342478225875,0.8237720284964379,0.8184264563067727,350.99165654182434,350954,23,1020,10.436472397006582,8.483292527328421e-05,97.73417311893233,0.010231835683339787,8.316953458165119e-08
WEFE-XLM-R-T,sif,arabic,2,resmicro,0.8739705882352942,0.8713357673050192,0.7900262467191601,0.7861584032860466,88.50198554992676,1598210,16,1020,10.373619629011955,8.481627356889179e-05,98.32633511521483,0.01017021532256074,8.315320938126646e-08
